time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,school_name,trust,estab,school_laestab,school_urn,academy_type,academy_open_date,all_through,num_schools,enrolments,sess_possible,sess_overall,sess_authorised,sess_unauthorised,sess_overall_percent,sess_authorised_percent,sess_unauthorised_percent,enrolments_pa_10_exact,enrolments_pa_10_exact_percent,sess_possible_pa_10_exact,sess_overall_pa_10_exact,sess_authorised_pa_10_exact,sess_unauthorised_pa_10_exact,sess_overall_percent_pa_10_exact,sess_authorised_percent_pa_10_exact,sess_unauthorised_percent_pa_10_exact,enrolments_pa_50_exact,enrolments_pa_50_exact_percent,sess_auth_illness,sess_auth_appointments,sess_auth_religious,sess_auth_study,sess_auth_traveller,sess_auth_holiday,sess_auth_ext_holiday,sess_auth_excluded,sess_auth_other,sess_auth_totalreasons,sess_unauth_holiday,sess_unauth_late,sess_unauth_other,sess_unauth_noyet,sess_unauth_totalreasons,sess_overall_totalreasons,sess_x_covid,sess_y_exceptional,sess_auth_illness_rate,sess_auth_appointments_rate,sess_auth_religious_rate,sess_auth_study_rate,sess_auth_traveller_rate,sess_auth_holiday_rate,sess_auth_ext_holiday_rate,sess_auth_excluded_rate,sess_auth_other_rate,sess_auth_totalreasons_rate,sess_unauth_holiday_rate,sess_unauth_late_rate,sess_unauth_other_rate,sess_unauth_noyet_rate,sess_unauth_totalreasons_rate,sess_overall_totalreasons_rate,sess_x_covid_rate
202021,Academic year,School,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded primary,Rainbow Primary Leadership Academy,RAINBOW SCHOOLS TRUST,2000,3802000,137320,Primary free school,Sep  1 2011 12:00AM,,1,309,102909,4674,882,3792,4.54188,0.85707,3.68481,32,10.35599,8339,1719,111,1608,20.61398,1.33109,19.28289,8,2.589,700,98,0,0,0,0,z,0,84,882,361,120,3308,3,3792,4674,22998,5618,0.680212615,0.095229766,0,0,0,0,z,0,0.081625514,0.857067895,0.350795363,0.116607877,3.214490472,0.002915197,3.684808909,4.541876804,22.3478996
201617,Academic year,School,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded primary,Rainbow Primary Leadership Academy,,2000,3802000,137320,Primary free school,01/09/2011,,1,370,118936,6228,2935,3293,5.23643,2.46771,2.76872,65,17.56757,15415,2901,974,1927,18.81933,6.31852,12.50081,8,2.16216,2214,302,0,0,0,256,z,0,163,2935,802,106,2385,0,3293,6228,z,z,1.861505347,0.253918074,0,0,0,0.215241811,z,0,0.137048497,2.467713728,0.674312235,0.089123562,2.005280151,0,2.768715948,5.236429676,0
201819,Academic year,School,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded primary,Rainbow Primary Leadership Academy,,2000,3802000,137320,Primary free school,01/09/2011,,1,378,122951,5566,2495,3071,4.52701,2.02926,2.49774,51,13.49206,12848,2068,769,1299,16.09589,5.98537,10.11052,7,1.85185,1806,312,2,0,0,16,z,0,359,2495,670,247,2152,2,3071,5566,z,z,1.468877846,0.253759628,0.001626664,0,0,0.013013314,z,0,0.291986238,2.02926369,0.544932534,0.200893039,1.750290766,0.001626664,2.497743003,4.527006694,0
201516,Academic year,School,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded primary,Rainbow Primary Leadership Academy,,2000,3802000,137320,Primary free school,01/09/2011,,1,305,97736,4799,2554,2245,4.91017,2.61316,2.297,55,18.03279,14670,2442,994,1448,16.64622,6.77573,9.87048,4,1.31148,1859,332,0,0,0,213,z,0,150,2554,639,37,1564,5,2245,4799,z,z,1.9020627,0.339690595,0,0,0,0.217934026,z,0,0.153474666,2.613161987,0.653802079,0.037857084,1.600229189,0.005115822,2.297004175,4.910166162,0
201415,Academic year,School,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded primary,Rainbow Primary Leadership Academy,,2000,3802000,137320,Primary free school,12/09/2011,,1,233,75325,3757,2625,1132,4.98772,3.4849,1.50282,38,16.30901,9611,1767,1134,633,18.38518,11.79898,6.5862,4,1.71674,1618,197,6,0,0,261,z,0,543,2625,124,19,988,1,1132,3757,z,z,2.148025224,0.261533355,0.007965483,0,0,0.346498506,z,0,0.720876203,3.484898772,0.16461998,0.025224029,1.311649519,0.00132758,1.502821109,4.987719881,0
201314,Academic year,School,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded primary,Rainbow Primary Leadership Academy,,2000,3802000,137320,Primary free school,12/09/2011,,1,181,52787,3094,2340,754,5.86129,4.43291,1.42838,39,21.54696,8751,1496,1065,431,17.09519,12.17004,4.92515,1,0.55249,1638,138,4,0,0,316,z,0,244,2340,13,2,622,117,754,3094,z,z,3.103036733,0.261428003,0.007577623,0,0,0.598632239,z,0,0.46223502,4.432909618,0.024627276,0.003788812,1.17832042,0.221645481,1.428381988,5.861291606,0
202122,Academic year,School,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded primary,Rainbow Primary Leadership Academy,STAR ACADEMIES,2000,3802000,137320,Primary free school,01/09/2011,,1,325,105496,6797,2929,3868,6.4429,2.77641,3.66649,64,19.69231,18742,3111,971,2140,16.59908,5.18088,11.41821,3,0.92308,2559,262,12,0,0,4,z,0,92,2929,1232,170,2466,0,3868,6797,743,112,2.425684386,0.248350648,0.011374839,0,0,0.003791613,z,0,0.087207098,2.776408584,1.167816789,0.16114355,2.337529385,0,3.666489725,6.442898309,0.704292106
201718,Academic year,School,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded primary,Rainbow Primary Leadership Academy,,2000,3802000,137320,Primary free school,01/09/2011,,1,375,123662,5901,2563,3338,4.77188,2.07258,2.69929,45,12,13008,2171,794,1377,16.68973,6.10394,10.58579,2,0.53333,2079,276,0,0,0,40,z,0,168,2563,1101,145,2092,0,3338,5901,z,z,1.681195517,0.223189015,0,0,0,0.032346234,z,0,0.135854183,2.072584949,0.890330093,0.117255099,1.691708043,0,2.699293235,4.771878184,0
202021,Academic year,School,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded primary,Beckfoot Allerton Primary School and Nursery,BECKFOOT TRUST,2001,3802001,143092,Primary converter academy,Sep  1 2016 12:00AM,,1,361,132812,7542,4715,2827,5.6787,3.55013,2.12857,45,12.46537,16138,3844,1770,2074,23.81956,10.9679,12.85165,4,1.10803,2669,87,496,0,0,0,z,16,1447,4715,1301,0,1508,18,2827,7542,32756,0,2.009607566,0.065506129,0.373460229,0,0,0,z,0.012047104,1.089509984,3.550131012,0.979580158,0,1.135439569,0.013552992,2.128572719,5.678703732,24.66343403
202122,Academic year,School,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,State-funded primary,Beckfoot Allerton Primary School and Nursery,BECKFOOT TRUST,2001,3802001,143092,Primary converter academy,01/09/2016,,1,354,128729,9301,6803,2498,7.22526,5.28475,1.94051,85,24.0113,30123,5212,3446,1766,17.30239,11.43976,5.86263,5,1.41243,5166,193,470,0,0,0,z,92,882,6803,1045,2,1429,22,2498,9301,1513,686,4.013081745,0.149927367,0.365108095,0,0,0,z,0.071467968,0.685160298,5.284745473,0.811782893,0.001553651,1.110083975,0.017090166,1.940510685,7.225256158,1.175337337
