Location,Year,Characteristic,School Type,Enrolments,Total Attendance Sessions,Total Sessions - Absence,Authorised Absence Sessions,Unauthorised Absence Sessions,Overall Absence Rate (%),Authorised Absence Rate (%),Unauthorised Absence Rate (%),Enrolments - Persistent Absence (10 or more sessions),Persistent Absence Rate (%),Enrolments - Severe Absence (50 or more sessions),Severe Absence Rate
Bradford,201718,Ethnicity Major Any Other Ethnic Group,State-funded secondary,409,138998,7152,3369,3783,5.1454,2.42378,2.72162,49,11.98044,4,0.97799511
Bradford,201718,Ethnicity Major Any Other Ethnic Group,Special,8,2835,332,292,40,11.71076,10.29982,1.41093,2,25,0,0
Bradford,201718,Ethnicity Major Any Other Ethnic Group,State-funded primary,755,255080,10015,5767,4248,3.92622,2.26086,1.66536,75,9.93377,2,0.264900662
Bradford,201718,Ethnicity Major Any Other Ethnic Group,Total,1172,396913,17499,9428,8071,4.40877,2.37533,2.03344,126,10.75085,6,0.511945392
Bradford,201819,Ethnicity Major Any Other Ethnic Group,Special,10,2868,389,372,17,13.56346,12.97071,0.59275,5,50,1,10
Bradford,201819,Ethnicity Major Any Other Ethnic Group,State-funded secondary,487,161721,8659,4276,4383,5.35428,2.64406,2.71022,78,16.01643,9,1.848049281
Bradford,201819,Ethnicity Major Any Other Ethnic Group,Total,1233,422414,18737,9966,8771,4.4357,2.3593,2.0764,142,11.51663,20,1.622060016
Bradford,201819,Ethnicity Major Any Other Ethnic Group,State-funded primary,736,257825,9689,5318,4371,3.75798,2.06264,1.69534,59,8.0163,10,1.358695652
Bradford,202021,Ethnicity Major Any Other Ethnic Group,State-funded primary,836,285697,13554,7506,6048,4.74419,2.62726,2.11693,93,11.1244,14,1.674641148
Bradford,202021,Ethnicity Major Any Other Ethnic Group,Total,1392,464215,26145,14449,11696,5.63209,3.11257,2.51952,213,15.30172,34,2.442528736
Bradford,202021,Ethnicity Major Any Other Ethnic Group,State-funded secondary,547,175514,12071,6541,5530,6.87751,3.72677,3.15075,114,20.84095,19,3.473491773
Bradford,202021,Ethnicity Major Any Other Ethnic Group,Special,9,3004,520,402,118,17.31025,13.38216,3.9281,6,66.66667,1,11.11111111
Bradford,202122,Ethnicity Major Any Other Ethnic Group,Special,11,3768,803,764,39,21.31104,20.27601,1.03503,9,81.81818,0,0
Bradford,202122,Ethnicity Major Any Other Ethnic Group,State-funded primary,958,325618,20792,12546,8246,6.3854,3.85298,2.53242,201,20.98121,15,1.565762004
Bradford,202122,Ethnicity Major Any Other Ethnic Group,State-funded secondary,656,209013,21377,9260,12117,10.22759,4.43035,5.79725,199,30.33537,39,5.945121951
Bradford,202122,NC Year 12 and above,Total,2,613,72,42,30,11.74551,6.85155,4.89396,1,50,0,0
Bradford,201718,Ethnicity Major Asian Total,Special,419,148389,16635,14520,2115,11.2104,9.78509,1.42531,158,37.70883,7,1.670644391
Bradford,201718,Ethnicity Major Asian Total,State-funded secondary,14781,5021496,255911,153849,102062,5.09631,3.06381,2.0325,1808,12.23192,115,0.778025844
Bradford,201718,Ethnicity Major Asian Total,Total,34846,12007429,562068,352721,209347,4.681,2.93752,1.74348,3821,10.96539,152,0.436205016
Bradford,201718,Ethnicity Major Asian Total,State-funded primary,19646,6837544,289522,184352,105170,4.2343,2.69617,1.53813,1855,9.44213,30,0.15270284
Bradford,201819,Ethnicity Major Asian Total,State-funded secondary,15378,5305331,302777,182260,120517,5.70703,3.43541,2.27162,2190,14.24112,123,0.799843933
Bradford,201819,Ethnicity Major Asian Total,Special,425,153974,18858,16957,1901,12.24752,11.0129,1.23462,177,41.64706,13,3.058823529
Bradford,201819,Ethnicity Major Asian Total,State-funded primary,18994,6944338,297568,192353,105215,4.28504,2.76993,1.51512,1906,10.03475,39,0.205327998
Bradford,201819,Ethnicity Major Asian Total,Total,34797,12403643,619203,391570,227633,4.99211,3.1569,1.83521,4273,12.27979,175,0.502916918
Bradford,202021,Ethnicity Major Asian Total,State-funded primary,18418,6634703,362003,227691,134312,5.45621,3.43182,2.02439,2608,14.16006,150,0.814420675
Bradford,202021,Ethnicity Major Asian Total,Total,35197,12364165,814252,513824,300428,6.58558,4.15575,2.42983,6619,18.80558,398,1.130778191
Bradford,202021,Ethnicity Major Asian Total,Special,479,166488,35789,31676,4113,21.49644,19.026,2.47045,327,68.26722,45,9.394572025
Bradford,202021,Ethnicity Major Asian Total,State-funded secondary,16300,5562974,416460,254457,162003,7.48628,4.57412,2.91217,3684,22.60123,203,1.245398773
Bradford,202122,Ethnicity Major Asian Total,Special,507,182538,30365,25968,4397,16.63489,14.22608,2.40881,261,51.47929,34,6.706114398
Bradford,202122,Ethnicity Major Asian Total,State-funded primary,18460,6726097,479260,300650,178610,7.12538,4.4699,2.65548,4451,24.11159,100,0.541711809
Bradford,202122,Ethnicity Major Asian Total,State-funded secondary,16369,5544697,556849,306204,250645,10.04291,5.52247,4.52045,5655,34.54701,385,2.352006842
