URN,LA (code),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),PhaseOfEducation (name),SchoolSponsors (name),OfstedLastInsp,Street,Town,Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,ParliamentaryConstituency (name),OfstedRating (name)
107253,380,2111,Crossflatts Primary School,Community school,Open,Primary,,16/10/2018,Morton Lane,Bingley,BD16 2EP,https://www.crossflatts.bradford.sch.uk/web,01274-782070,Mrs,Nicola,Bennett,Shipley,Good
107255,380,2113,Eldwick Primary School,Community school,Open,Primary,,18/09/2018,Warren Lane,Bingley,BD16 3LE,www.eldwick.bradford.sch.uk,01274-568361,Mr,Daniel,Lomas,Shipley,Good
107437,380,5206,Myrtle Park Primary,Foundation school,Open,Primary,,19/06/2019,Ash Terrace,Bingley,BD16 1HB,http://www.myrtleparkprimary.org,01274-564681,Mr,Kevin,Wheeler,Shipley,Good
107439,380,5400,Bingley Grammar School,Voluntary aided school,Open,Secondary,,27/03/2018,Keighley Road,Bingley,BD16 2RS,http://www.bingleygrammar.org,01274-807700,Mr,Luke,Weston,Shipley,Good
139975,380,4064,Beckfoot School,Academy converter,Open,Secondary,Beckfoot Trust,05/06/2014,Wagon Lane,Bingley,BD16 1EE,www.beckfoot.org,01274-771444,Mr,Simon,Wade,Shipley,Outstanding
139977,380,7034,Hazelbeck Special School,Academy special converter,Open,Not applicable,Beckfoot Trust,21/03/2019,Wagon Lane,Bingley,BD16 1EE,www.hazelbeck.org,01274-777107,Miss,Beth,McPhail,Shipley,Outstanding
140076,380,2114,Harden Primary School,Academy converter,Open,Primary,Exceed Academies Trust,19/09/2019,Long Lane,Bingley,BD16 1LJ,www.harden.bradford.sch.uk/,01535-273847,,Kirsty,Hutchinson,Shipley,Good
144890,380,2115,Beckfoot Priestthorpe Primary School & Nursery,Academy converter,Open,Primary,Beckfoot Trust,02/12/2021,Mornington Road,Bingley,BD16 4JS,https://www.beckfootpriestthorpe.org,01274-564879,Mrs,Christina,Gunning,Shipley,Good
146198,380,4073,Dixons Cottingley Academy,Academy sponsor led,Open,Secondary,Dixons Academies Trust,16/11/2022,Cottingley New Road,Bingley,BD16 1TZ,www.dixonsco.com,01274-567281,Miss,Francesca,Hitch,Shipley,Good
147924,380,3367,"St Joseph's Catholic Primary School, A Voluntary Academy",Academy converter,Open,Primary,Blessed Christopher Wharton Catholic Academy Trust,,Crownest Road,Bingley,BD16 4HQ,http://www.stjosephs.ngfl.ac.uk,01274-564883,Mrs,Louise,Robinson,Shipley,
148159,380,2110,Cottingley Village Primary School,Academy converter,Open,Primary,Exceed Academies Trust,,Cottingley Moor Road,Bingley,BD16 1SY,www.cottingleyvillageprimary.org.uk,01274-567545,Mrs,Nichola M,Geale,Shipley,
